"","contrast.ctr","ROI","estimate","SE.ctr","df.ctr","t.ratio","p (raw)","p (FDR BH)","contrast.eff","effect.size","SE.eff","df.eff","lower.CL","upper.CL"
"1","V3 - V2","L_Ant",0.713234222163119,0.0647352460880048,124061.590722231,11.0177108339637,0,0,"(V3 - V2)",0.162818001878439,0.0147814304145673,124061.590722231,0.13384664797679,0.191789355780087
"2","V3 - V2","M_Ant",0.637576057406765,0.134411798331265,124061.590722231,4.74345306976272,0,0,"(V3 - V2)",0.145546661232361,0.0306850744900593,124061.590722231,0.0854044336118297,0.205688888852893
"3","V3 - V2","R_Ant",0.750540021834607,0.0647835719221778,124061.590722231,11.5853448577396,0,0,"(V3 - V2)",0.17133421656955,0.0147928443678958,124061.590722231,0.1423404915122,0.2003279416269
"4","V3 - V2","L_Cent",0.715905967911073,0.0648333648586837,124061.590722231,11.0422460637593,0,0,"(V3 - V2)",0.163427911345331,0.0148038505450135,124061.590722231,0.134412614366764,0.192443208323899
"5","V3 - V2","M_Cent",0.856781748930249,0.137868040705189,124061.590722231,6.21450587495006,0,0,"(V3 - V2)",0.195587211145953,0.0314751199350811,124061.590722231,0.133896507799855,0.257277914492051
"6","V3 - V2","R_Cent",0.885370807893902,0.0648366127779516,124061.590722231,13.6554142784427,0,0,"(V3 - V2)",0.202113557346685,0.0148065020614433,124061.590722231,0.173093063440709,0.231134051252662
"7","V3 - V2","L_Post",0.00482342558064445,0.064657206039497,124061.590722231,0.0745999692238166,0.9405,0.9405,"(V3 - V2)",0.00110109763503505,0.014760028170884,124061.590722231,-0.0278283082305542,0.0300305035006243
"8","V3 - V2","M_Post",0.761228522160456,0.135451756879274,124061.590722231,5.61992357794905,0,0,"(V3 - V2)",0.173774200816035,0.0309230499077342,124061.590722231,0.113165545397111,0.234382856234958
"9","V3 - V2","R_Post",0.792126189990549,0.0649607934466374,124061.590722231,12.1939118653353,0,0,"(V3 - V2)",0.180827559141358,0.0148337406553854,124061.590722231,0.151753678051412,0.209901440231304
