"","contrast.ctr","Adverb","ROI","estimate","SE.ctr","df.ctr","t.ratio","p (raw)","p (FDR BH)","contrast.eff","effect.size","SE.eff","df.eff","lower.CL","upper.CL"
"1","V3 - V2","kanske","L_Ant",-0.11882141981088,0.129153279790492,121254.634432371,-0.920003115705836,0.3576,0.4388,"(V3 - V2)",-0.0237348331500332,0.025798687986385,121254.634432371,-0.0742998371919125,0.026830170891846
"2","V3 - V2","hemma","L_Ant",-0.394326487829761,0.129371717595321,121254.634432371,-3.04801153729153,0.0023,0.0062,"(V3 - V2)",-0.078767560682026,0.0258427578980464,121254.634432371,-0.129418941025772,-0.0281161803382799
"3","V3 - V2","idag","L_Ant",-0.141756134712735,0.13049986150708,121254.634432371,-1.08625505863119,0.2774,0.3566,"(V3 - V2)",-0.0283160915831131,0.0260676884136802,121254.634432371,-0.0794083320371938,0.0227761488709677
"4","V3 - V2","kanske","M_Ant",0.0129622002962879,0.272199583779299,121254.634432371,0.0476202061601894,0.962,0.962,"(V3 - V2)",0.00258922727719784,0.0543724502206279,121254.634432371,-0.103979880679915,0.10915833523431
"5","V3 - V2","hemma","M_Ant",-0.57477722493804,0.274255496211589,121254.634432371,-2.09577285734539,0.0361,0.0573,"(V3 - V2)",-0.114812981986387,0.0547836041283651,121254.634432371,-0.222187944838816,-0.00743801913395836
"6","V3 - V2","idag","M_Ant",-0.036976751466224,0.274913989696711,121254.634432371,-0.13450298221279,0.893,0.9274,"(V3 - V2)",-0.00738618531808446,0.0549146603578416,121254.634432371,-0.115018016224295,0.100245645588126
"7","V3 - V2","kanske","R_Ant",-0.0323655210809468,0.129278115419645,121254.634432371,-0.250355761885037,0.8023,0.8665,"(V3 - V2)",-0.0064650821703093,0.0258235837356719,121254.634432371,-0.0570788814712336,0.044148717130615
"8","V3 - V2","hemma","R_Ant",-0.418778884207552,0.129392427897572,121254.634432371,-3.23650225142278,0.0012,0.0041,"(V3 - V2)",-0.0836519792411469,0.0258469561348471,121254.634432371,-0.134311588059958,-0.0329923704223361
"9","V3 - V2","idag","R_Ant",0.359893895579668,0.130117022041964,121254.634432371,2.76592478010754,0.0057,0.0128,"(V3 - V2)",0.071889576617538,0.0259915515727507,121254.634432371,0.0209465631191601,0.122832590115916
"10","V3 - V2","kanske","L_Cent",-0.330468671698817,0.128728486520664,121254.634432371,-2.56717592687435,0.0103,0.0213,"(V3 - V2)",-0.0660118251117407,0.0257141298742311,121254.634432371,-0.116411096644855,-0.0156125535786268
