"","contrast.ctr","Adverb","ROI","estimate","SE.ctr","df.ctr","t.ratio","p (raw)","p (FDR BH)","contrast.eff","effect.size","SE.eff","df.eff","lower.CL","upper.CL"
"1","V3 - V2","kanske","L_Ant",0.187225155987225,0.101351055274765,125686.320521001,1.84729360221907,0.0647,0.0971,"(V3 - V2)",0.0469980915573214,0.0254417664095994,125686.320521001,-0.00286733451470661,0.0968635176293493
"2","V3 - V2","hemma","L_Ant",0.289171487757754,0.101299556071932,125686.320521001,2.85461752223687,0.0043,0.0102,"(V3 - V2)",0.0725891132831163,0.025429079637579,125686.320521001,0.0227485530667877,0.122429673499445
"3","V3 - V2","idag","L_Ant",-0.0554102979867503,0.101613782038628,125686.320521001,-0.545302978346837,0.5855,0.6324,"(V3 - V2)",-0.0139093395023127,0.0255075587822958,125686.320521001,-0.0639037174970953,0.03608503849247
"4","V3 - V2","kanske","M_Ant",-0.522309277166039,0.207597636796859,125686.320521001,-2.51596928185235,0.0119,0.0214,"(V3 - V2)",-0.131112398331573,0.0521127420657911,125686.320521001,-0.233252479529389,-0.0289723171337564
"5","V3 - V2","hemma","M_Ant",-0.355558467114942,0.208581181203386,125686.320521001,-1.70465266839313,0.0883,0.1254,"(V3 - V2)",-0.0892538681745799,0.0523592803056216,125686.320521001,-0.191877160096616,0.0133694237474558
"6","V3 - V2","idag","M_Ant",-0.439554781714887,0.209204425507485,125686.320521001,-2.10107783642063,0.0356,0.0601,"(V3 - V2)",-0.110338996736658,0.0525158892302291,125686.320521001,-0.213269239466531,-0.00740875400678503
"7","V3 - V2","kanske","R_Ant",0.155237777956442,0.101387477804025,125686.320521001,1.53113364015728,0.1257,0.1697,"(V3 - V2)",0.038968477623006,0.0254508550485848,125686.320521001,-0.0109147620256473,0.0888517172716593
"8","V3 - V2","hemma","R_Ant",-0.0356319268012801,0.101342391431605,125686.320521001,-0.351599427425469,0.7251,0.753,"(V3 - V2)",-0.00894448478005062,0.0254394242249424,125686.320521001,-0.0588053202102976,0.0409163506501964
"9","V3 - V2","idag","R_Ant",-0.0727380422422746,0.101757914095004,125686.320521001,-0.714814595888477,0.4747,0.5573,"(V3 - V2)",-0.0182590269506091,0.0255437503863026,125686.320521001,-0.0683243398688941,0.0318062859676758
"10","V3 - V2","kanske","L_Cent",0.0753624604378507,0.101442524178726,125686.320521001,0.742907977181975,0.4575,0.5573,"(V3 - V2)",0.0189178200812117,0.0254645818112141,125686.320521001,-0.030992323786908,0.0688279639493314
"11","V3 - V2","hemma","L_Cent",-0.059706546667983,0.10112573810889,125686.320521001,-0.590418896163629,0.5549,0.6243,"(V3 - V2)",-0.0149878029588333,0.0253850503524644,125686.320521001,-0.0647420665310319,0.0347664606133654
"12","V3 - V2","idag","L_Cent",0.02224919135933,0.102600384241945,125686.320521001,0.216852904827953,0.8283,0.8283,"(V3 - V2)",0.00558509099414774,0.0257552073091143,125686.320521001,-0.0448946738683193,0.0560648558566148
"13","V3 - V2","kanske","M_Cent",-0.535301655617852,0.21228782050426,125686.320521001,-2.52158439587498,0.0117,0.0214,"(V3 - V2)",-0.134373802969245,0.0532901107651679,125686.320521001,-0.238821506636866,-0.0299260993016249
"14","V3 - V2","hemma","M_Cent",-0.758426240980662,0.212647372208203,125686.320521001,-3.56659117441662,0.0004,0.0011,"(V3 - V2)",-0.190383528992848,0.0533810473911086,125686.320521001,-0.295009466888591,-0.0857575910971049
"15","V3 - V2","idag","M_Cent",-0.698255816206765,0.212738138248687,125686.320521001,-3.2822314886977,0.001,0.0028,"(V3 - V2)",-0.175279281288231,0.0534036244651818,125686.320521001,-0.27994946986217,-0.0706090927142928
"16","V3 - V2","kanske","R_Cent",-0.131866128704004,0.10132855811923,125686.320521001,-1.30137180624677,0.1931,0.2483,"(V3 - V2)",-0.0331016222550948,0.0254360315904697,125686.320521001,-0.0829558081799276,0.016752563669738
"17","V3 - V2","hemma","R_Cent",-0.368845433630417,0.101491476842443,125686.320521001,-3.63425033417355,0.0003,0.0009,"(V3 - V2)",-0.0925892216185154,0.0254775149941818,125686.320521001,-0.142524714303567,-0.0426537289334633
"18","V3 - V2","idag","R_Cent",-0.289506142606801,0.101952876365885,125686.320521001,-2.83960740418771,0.0045,0.0102,"(V3 - V2)",-0.0726731198320903,0.0255930773021661,125686.320521001,-0.122835112659968,-0.0225111270042128
"19","V3 - V2","kanske","L_Post",-0.722224150741897,0.101010237309063,125686.320521001,-7.15000944441002,0,0,"(V3 - V2)",-0.181295919250255,0.0253586315322559,125686.320521001,-0.230998402387684,-0.131593436112827
"20","V3 - V2","hemma","L_Post",-0.796268278667176,0.10107118602613,125686.320521001,-7.87829162765851,0,0,"(V3 - V2)",-0.199882805639346,0.0253744880224212,125686.320521001,-0.249616367225706,-0.150149244052986
"21","V3 - V2","idag","L_Post",-0.599384833585064,0.10247224935456,125686.320521001,-5.8492405247313,0,0,"(V3 - V2)",-0.150460247386964,0.0257247999935034,125686.320521001,-0.200880414432037,-0.10004008034189
"22","V3 - V2","kanske","M_Post",-0.534938893280057,0.210545008313269,125686.320521001,-2.54073415259565,0.0111,0.0214,"(V3 - V2)",-0.134282740753405,0.0528526269794287,125686.320521001,-0.237872983699774,-0.0306924978070362
"23","V3 - V2","hemma","M_Post",-0.839487654953182,0.209383354230809,125686.320521001,-4.00933330176664,0.0001,0.0002,"(V3 - V2)",-0.210731925743049,0.0525620308166502,125686.320521001,-0.313752605191407,-0.107711246294692
"24","V3 - V2","idag","M_Post",-0.432954885677643,0.209533304579293,125686.320521001,-2.06628195239388,0.0388,0.0616,"(V3 - V2)",-0.108682261472683,0.0525984313927852,125686.320521001,-0.211774285426332,-0.00559023751903449
"25","V3 - V2","kanske","R_Post",-0.59741472720398,0.101500098774983,125686.320521001,-5.88585365348658,0,0,"(V3 - V2)",-0.149965702518847,0.0254807716253158,125686.320521001,-0.199907578145101,-0.100023826892593
"26","V3 - V2","hemma","R_Post",-0.954886984212524,0.101579294873415,125686.320521001,-9.40040965437369,0,0,"(V3 - V2)",-0.239699978746323,0.0255033926488833,125686.320521001,-0.289686191191028,-0.189713766301618
"27","V3 - V2","idag","R_Post",-0.747703880963988,0.101780602612993,125686.320521001,-7.34623161750212,0,0,"(V3 - V2)",-0.187691954481308,0.0255521771637311,125686.320521001,-0.237773783738912,-0.137610125223705
