"","contrast.ctr","Adverb","ROI","estimate","SE.ctr","df.ctr","t.ratio","p (raw)","p (FDR BH)","contrast.eff","effect.size","SE.eff","df.eff","lower.CL","upper.CL"
"1","V3 - V2","kanske","L_Ant",0.0411661686105357,0.0996453148831393,125670.069125675,0.413126986038571,0.6795,0.8,"(V3 - V2)",0.0105215401665994,0.025468062154432,125670.069125675,-0.0393954251767359,0.0604385055099346
"2","V3 - V2","hemma","L_Ant",0.0899357580987952,0.0993140684583925,125670.069125675,0.905569165525362,0.3652,0.58,"(V3 - V2)",0.0229864163508251,0.025383432791391,125670.069125675,-0.0267646768913534,0.0727375095930035
"3","V3 - V2","idag","L_Ant",-0.100078131218192,0.0998531297984758,125670.069125675,-1.00225332365816,0.3162,0.5336,"(V3 - V2)",-0.0255786757172471,0.0255212195375857,125670.069125675,-0.0755998286205362,0.0244424771860421
"4","V3 - V2","kanske","M_Ant",-0.0170716412154899,0.204615592235902,125670.069125675,-0.0834327483499303,0.9335,0.9694,"(V3 - V2)",-0.00436329065398085,0.0522970991729345,125670.069125675,-0.106864708749431,0.098138127441469
"5","V3 - V2","hemma","M_Ant",-0.384740094232727,0.20419643779627,125670.069125675,-1.88416653289804,0.0595,0.1608,"(V3 - V2)",-0.0983345910441333,0.0521903385484871,125670.069125675,-0.200626760145362,0.00395757805709533
"6","V3 - V2","idag","M_Ant",-0.410228986121565,0.20541110244517,125670.069125675,-1.99711204135651,0.0458,0.1374,"(V3 - V2)",-0.104849222083707,0.0525008393531477,125670.069125675,-0.207749967440614,-0.00194847672680024
"7","V3 - V2","kanske","R_Ant",0.211005781281434,0.0996125205058741,125670.069125675,2.11826565786969,0.0342,0.1153,"(V3 - V2)",0.0539303481006753,0.0254599001189554,125670.069125675,0.00402938020699092,0.10383131599436
"8","V3 - V2","hemma","R_Ant",-0.0445052504214298,0.0995297452433223,125670.069125675,-0.447155273156049,0.6548,0.8,"(V3 - V2)",-0.0113749662827207,0.0254385255288042,125670.069125675,-0.061234040346033,0.0384841077805917
"9","V3 - V2","idag","R_Ant",-0.025883941644911,0.100007514647976,125670.069125675,-0.258819967039696,0.7958,0.8594,"(V3 - V2)",-0.00661560064681719,0.0255606304599028,125670.069125675,-0.0567139982824115,0.0434827969887771
"10","V3 - V2","kanske","L_Cent",0.106054512784596,0.0996870156759693,125670.069125675,1.06387488947732,0.2874,0.5336,"(V3 - V2)",0.0271061615344661,0.0254787693192342,125670.069125675,-0.0228317896683788,0.077044112737311
"11","V3 - V2","hemma","L_Cent",-0.0407560743066019,0.0992875793495113,125670.069125675,-0.41048512385555,0.6815,0.8,"(V3 - V2)",-0.0104167253675406,0.0253766294381017,125670.069125675,-0.0601544841538699,0.0393210334187887
"12","V3 - V2","idag","L_Cent",-0.103668638895823,0.100772794509678,125670.069125675,-1.02873637076589,0.3036,0.5336,"(V3 - V2)",-0.0264963630324327,0.0257562771837943,125670.069125675,-0.0769782248938016,0.0239854988289362
"13","V3 - V2","kanske","M_Cent",0.153387778028356,0.209337608020811,125670.069125675,0.73272919987271,0.4637,0.659,"(V3 - V2)",0.0392039318222521,0.0535040420466402,125670.069125675,-0.0656630736207089,0.144070937265213
"14","V3 - V2","hemma","M_Cent",-0.586385860163985,0.207911432371887,125670.069125675,-2.82036371677306,0.0048,0.0185,"(V3 - V2)",-0.14987264030353,0.0531403179322349,125670.069125675,-0.254026752715871,-0.0457185278911898
"15","V3 - V2","idag","M_Cent",-0.277334324170719,0.208912319915241,125670.069125675,-1.32751541069114,0.1843,0.3829,"(V3 - V2)",-0.0708830656295789,0.0533954746531239,125670.069125675,-0.175537280841909,0.0337711495827509
"16","V3 - V2","kanske","R_Cent",0.150123932375883,0.0994866139987082,125670.069125675,1.50898624791705,0.1313,0.2954,"(V3 - V2)",0.0383697350949597,0.0254276073664228,125670.069125675,-0.0114679395572038,0.0882074097471233
"17","V3 - V2","hemma","R_Cent",-0.17689832054252,0.0997310303579785,125670.069125675,-1.77375406538521,0.0761,0.1868,"(V3 - V2)",-0.0452129223538124,0.0254901216202179,125670.069125675,-0.0951731238720262,0.00474727916440146
"18","V3 - V2","idag","R_Cent",0.0288506727600574,0.100171320948151,125670.069125675,0.288013300483387,0.7733,0.8594,"(V3 - V2)",0.00737385874187646,0.02560249805425,125670.069125675,-0.0428065986610989,0.0575543161448518
"19","V3 - V2","kanske","L_Post",-0.319104553777677,0.0991940731822857,125670.069125675,-3.21697197766311,0.0013,0.0058,"(V3 - V2)",-0.0815589959726619,0.0253532466601238,125670.069125675,-0.131250924914896,-0.0318670670304281
"20","V3 - V2","hemma","L_Post",-0.776145549657276,0.0992028739665227,125670.069125675,-7.82382121226847,0,0,"(V3 - V2)",-0.198372762185023,0.0253580751622142,125670.069125675,-0.248074154908602,-0.148671369461445
"21","V3 - V2","idag","L_Post",-0.639176910383021,0.100633974939438,125670.069125675,-6.35150217178327,0,0,"(V3 - V2)",-0.163365349828467,0.0257228173289768,125670.069125675,-0.213781630947839,-0.112949068709096
